"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","1996","1996","IDX","Index","0","Units","2015_100","2015=100",70.97832,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","1997","1997","IDX","Index","0","Units","2015_100","2015=100",72.70284,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","1998","1998","IDX","Index","0","Units","2015_100","2015=100",74.63225,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","1999","1999","IDX","Index","0","Units","2015_100","2015=100",76.24294,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",77.9333,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",80.17005,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",82.49217,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",84.93951,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",86.84615,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",88.24055,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",89.37316,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",90.63667,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",92.19044,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",93.39133,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",94.27351,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",95.86082,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",98.28778,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",99.08105,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",99.59943,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",99.98429,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",100.4583,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","1996","1996","IDX","Index","0","Units","2015_100","2015=100",49.98056,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","1997","1997","IDX","Index","0","Units","2015_100","2015=100",51.83068,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","1998","1998","IDX","Index","0","Units","2015_100","2015=100",54.19603,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","1999","1999","IDX","Index","0","Units","2015_100","2015=100",55.29673,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",55.9954,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",57.43179,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",58.65739,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",62.6894,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",67.66599,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",72.32252,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",75.87054,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",78.47398,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",81.76048,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",84.87133,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",87.24448,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",90.29232,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",95.59337,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",97.01134,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",97.35311,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",99.97092,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",101.4833,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","1997","1997","PC","Percentage","0","Units",,,2.429637,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","1998","1998","PC","Percentage","0","Units",,,2.653828,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","1999","1999","PC","Percentage","0","Units",,,2.158164,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2000","2000","PC","Percentage","0","Units",,,2.21708,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2001","2001","PC","Percentage","0","Units",,,2.87008,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2002","2002","PC","Percentage","0","Units",,,2.896493,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2003","2003","PC","Percentage","0","Units",,,2.966745,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2004","2004","PC","Percentage","0","Units",,,2.244707,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2005","2005","PC","Percentage","0","Units",,,1.60561,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2006","2006","PC","Percentage","0","Units",,,1.28354,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2007","2007","PC","Percentage","0","Units",,,1.413743,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,1.714286,,
